customer_id,customer_name,email,registration_date,customer_type,region_code
93,Emily Rodriguez,ortizamanda@example.net,2024-03-29,REGULAR,SOUTH
94,Erica Johnson,suttonadam@example.org,2025-11-30,PREMIUM,SOUTH
95,James Bradley,kathleenjohnson@example.net,2023-11-01,REGULAR,SOUTH
96,Roger Alvarez,ncampbell@example.com,2025-06-07,REGULAR,EAST
97,Cynthia Henry,michael77@example.org,2025-06-14,REGULAR,NORTH
98,Heather Thomas,sylviaprice@example.com,2024-03-15,VIP,NORTH
99,Alex Trujillo,bradjenkins@example.net,2024-06-26,VIP,WEST
100,Mrs. Lori Clark,afisher@example.com,2025-06-11,PREMIUM,EAST
101,James Cox,elizabeth28@example.org,2024-07-26,VIP,WEST
102,Connor Lee,rachel86@example.com,2026-04-05,VIP,EAST
103,James Harrison,xevans@example.net,2025-04-10,REGULAR,WEST
104,Daniel Arnold,donnagiles@example.com,2024-04-15,PREMIUM,NORTH
105,Allison Clark,joshuareese@example.net,2024-03-08,PREMIUM,SOUTH
106,Laura Owen,robertmcdonald@example.net,2024-01-28,VIP,WEST
107,Katelyn Bishop,lowekristin@example.org,2023-08-12,REGULAR,NORTH
108,Scott Brown,edwardsrachel@example.org,2024-02-28,VIP,EAST
109,Elizabeth Jones,brandy77@example.com,2026-07-07,VIP,WEST
110,Eric Lang,rachelhernandez@example.com,2024-01-09,PREMIUM,WEST
111,Lisa Moore,rgraves@example.net,2024-07-31,REGULAR,EAST
112,Mary Thomas,cdavis@example.org,2025-02-20,VIP,EAST
113,John Wang,sarah99@example.org,2025-06-03,VIP,EAST
114,Tracy Potts,nicole15@example.org,2024-04-10,PREMIUM,EAST
115,Eric Long,danieldonovan@example.net,2024-05-11,REGULAR,WEST
116,Erica Dawson,gomeztonya@example.com,2023-08-03,PREMIUM,SOUTH
117,Leslie Frey,melissa38@example.com,2025-09-25,VIP,EAST
118,Allison Flores,brettallen@example.com,2024-08-21,VIP,WEST
119,Jeffrey Williams,vhopkins@example.net,2023-08-27,VIP,WEST
120,William Weber,turnerjames@example.com,2025-02-19,VIP,WEST
121,Michael Nelson,zrogers@example.net,2025-04-29,REGULAR,NORTH
122,Gordon Hahn,andrea74@example.com,2023-11-16,REGULAR,SOUTH
123,Tamara Miller,michelle10@example.org,2023-12-23,VIP,WEST
124,Christopher Brown,kimberlyshields@example.org,2023-07-30,VIP,NORTH
125,Glenda Stout,mooreconnie@example.com,2026-03-16,PREMIUM,WEST
126,Rachel Rodriguez,browndominic@example.net,2023-11-13,VIP,NORTH
127,Nathan Davis,omoody@example.org,2023-09-25,VIP,WEST
128,Jasmine Garrett,thomasgonzalez@example.com,2026-02-04,REGULAR,SOUTH
129,Julie Dennis,ramoswilliam@example.org,2024-04-08,REGULAR,EAST
130,Deborah Humphrey,hollywarner@example.org,2024-04-27,PREMIUM,NORTH
131,Frank Braun,ralphhuff@example.com,2026-01-29,PREMIUM,EAST
132,Martin Robinson,madison38@example.org,2026-04-22,PREMIUM,EAST
133,Melinda Campbell,calvinbrown@example.com,2023-10-11,REGULAR,EAST
134,Sabrina Miller,vsmith@example.net,2023-11-24,REGULAR,EAST
135,Raymond Rocha,carrolljessica@example.com,2025-06-09,VIP,EAST
136,Robert Wood,kathryn58@example.net,2024-04-30,REGULAR,SOUTH
137,Christopher Vazquez,dmarshall@example.com,2025-03-27,VIP,EAST
138,Steven Hayes,joanncruz@example.org,2024-02-11,PREMIUM,SOUTH
139,Jane Berg,reginaldsmith@example.net,2024-04-03,REGULAR,EAST
140,Tracy Robinson,myersedward@example.com,2024-05-12,VIP,SOUTH
141,James Torres,jeremy79@example.net,2025-08-23,PREMIUM,NORTH
142,Travis Moore,gomezdaniel@example.com,2025-07-19,REGULAR,WEST
143,Brenda Stone,alara@example.com,2023-07-30,PREMIUM,SOUTH
144,Lynn Morgan,gabriella69@example.org,2026-01-25,REGULAR,EAST
145,Douglas Hardy,mikewaller@example.org,2023-08-06,PREMIUM,EAST
146,Jason Clark,haley57@example.com,2025-11-18,PREMIUM,EAST
147,Riley Hale,tammyharringtonexample.net,2024-06-29,REGULAR,EAST
148,Lisa Li,tracyharrison@example.org,2024-11-07,REGULAR,EAST
149,Anna Christensen,christopher77@example.net,2024-08-26,VIP,EAST
150,James Lee,jennifer50@example.com,2024-07-27,VIP,SOUTH
151,Aaron Kelly,yhoffman@example.com,2024-11-18,VIP,NORTH
152,Mr. Stephen Gonzalez,susanharper@example.org,2024-10-11,REGULAR,WEST
153,Nancy Lee,john66@example.net,2023-07-26,REGULAR,EAST
154,Dan Phillips,pearsonkathryn@example.org,2025-02-01,PREMIUM,SOUTH
155,Theodore Hernandez,mpeters@example.com,2024-11-08,REGULAR,EAST
156,Donald Hill,lmitchell@example.org,2024-11-22,REGULAR,EAST
157,Becky Parrish,uwood@example.net,2025-02-11,PREMIUM,NORTH
158,Lori Lucas,nthompson@example.org,2026-04-04,REGULAR,EAST
159,Keith Carroll,sharpjennifer@example.com,2023-10-17,REGULAR,SOUTH
160,Brenda Garcia,shelbyyoung@example.com,2025-01-14,REGULAR,WEST
161,Jason Potter,dmoralesexample.net,2025-04-16,REGULAR,SOUTH
162,Jennifer Moore,olsenshane@example.org,2024-08-18,REGULAR,NORTH
163,Anthony Vega,williamsmegan@example.org,2025-07-22,PREMIUM,WEST
164,Daniel Hall,stephanietaylor@example.com,2024-11-22,VIP,SOUTH
165,Mark Foster,travis68@example.org,2023-09-10,VIP,WEST
166,Andrew Perez,ssmith@example.org,2025-12-29,PREMIUM,EAST
167,Katrina Calderon,ilewis@example.org,2026-03-11,PREMIUM,EAST
168,Diana Hawkins,mmoore@example.net,2024-08-11,PREMIUM,SOUTH
169,Gabriel Green,santosshannon@example.com,2026-02-01,PREMIUM,NORTH
170,Megan Carrillo,jackwilliams@example.org,2024-05-24,REGULAR,EAST
171,Kelly Burgess,oliviameyers@example.com,2025-06-29,VIP,SOUTH
172,Mark Knight,jay04@example.org,2024-06-10,VIP,SOUTH
173,Shannon Clark,dcortez@example.com,2026-01-29,VIP,WEST
174,Tammie Castillo,laura31@example.net,2023-12-23,REGULAR,SOUTH
175,Sarah Harvey,arroyosarah@example.com,2025-05-31,VIP,SOUTH
176,Keith Moore,richardsondebbie@example.com,2025-02-08,VIP,NORTH
177,Jason Johnson,roachkevin@example.com,2025-06-18,PREMIUM,WEST
178,Stacy Mcbride,davidfields@example.net,2023-08-26,REGULAR,SOUTH
179,Tara Thompson,millerjimmy@example.net,2026-06-23,PREMIUM,NORTH
180,Debra Warner,sbrown@example.org,2024-06-08,PREMIUM,SOUTH
181,Michael Johnson,dreynolds@example.com,2024-04-06,PREMIUM,NORTH
182,Laura Williams,chungnancy@example.net,2024-09-19,PREMIUM,EAST
183,Christina Adams,sylvia33@example.net,2025-06-04,VIP,NORTH
184,Whitney Williams,shansen@example.com,2024-07-03,PREMIUM,WEST
185,Natalie Mitchell,georgestephen@example.com,2025-11-01,REGULAR,WEST
186,Matthew Watson,malikfowler@example.com,2024-04-05,PREMIUM,EAST
187,Jacqueline Lucero,dylan78@example.com,2025-01-19,VIP,EAST
188,Angelica King,marvinhoward@example.com,2025-06-09,VIP,WEST
189,Shannon Martin,coopersamantha@example.net,2024-02-20,VIP,EAST
190,Kimberly Collier,melissaberry@example.org,2026-06-20,VIP,NORTH
191,Rodney Gilmore,stonebarbara@example.com,2025-11-11,PREMIUM,NORTH
192,Carmen Perez,tracy55@example.net,2025-03-14,REGULAR,NORTH
193,Sabrina Robinson,kara13@example.net,2026-04-05,VIP,SOUTH
194,Ruben Woodard,jenniferbarry@example.net,2023-12-24,REGULAR,SOUTH
195,Thomas Neal MD,nturner@example.net,2026-03-27,REGULAR,WEST
196,Robert Johnson,phillipsjamie@example.net,2023-10-28,PREMIUM,NORTH
197,Jesse Wilson,dorothy09@example.com,2024-12-24,PREMIUM,WEST
198,Daniel Patterson,lreid@example.org,2026-05-29,PREMIUM,WEST
199,Andre Flores Jr.,ycallahan@example.net,2023-12-09,PREMIUM,SOUTH
200,Kevin Gilmore,yvang@example.org,2025-08-05,PREMIUM,SOUTH
201,Angie King,millerjennifer@example.net,2026-03-16,PREMIUM,WEST
202,Jordan Curry,cassandraharrison@example.com,2024-11-02,PREMIUM,WEST
203,Michele Hayes,rdavis@example.org,2026-01-16,PREMIUM,NORTH
204,Phyllis Walls,ljones@example.com,2024-09-08,REGULAR,EAST
205,Jasmine Buckley,kingdavid@example.net,2025-08-10,VIP,NORTH
206,Jesse Nash,robertsmark@example.org,2026-06-10,REGULAR,EAST
207,Ryan Gonzalez,ywrightexample.net,2026-04-20,REGULAR,NORTH
208,Patricia Williams,jeffreyglenn@example.net,2025-08-14,PREMIUM,EAST
209,Jeremy Haynes,garciadonald@example.net,2026-02-04,VIP,EAST
210,Jessica Richardson,hsmith@example.net,2025-02-01,REGULAR,SOUTH
211,Ashley Wells,samuel61@example.org,2023-11-22,PREMIUM,SOUTH
212,Travis Howard,phunter@example.org,2024-01-13,PREMIUM,NORTH
213,Brandon Lopez,seanbarajas@example.com,2025-11-21,REGULAR,EAST
214,Austin Tyler,brandiwilson@example.org,2024-07-04,PREMIUM,SOUTH
215,Eric Francis,dsmith@example.net,2023-07-28,PREMIUM,NORTH
216,Maxwell Richards,turnerlisa@example.com,2024-07-22,VIP,NORTH
217,Rebecca Lopez,nmendoza@example.org,2024-04-02,PREMIUM,EAST
218,Mark Weaver,thomasdavid@example.net,2024-02-20,VIP,SOUTH
219,Andrea Palmer,knightjohn@example.com,2026-03-07,REGULAR,NORTH
220,Darin Baker,goodwinbrad@example.com,2025-03-14,VIP,SOUTH
221,Michael Galvan,ocole@example.net,2024-01-23,PREMIUM,WEST
222,Travis Hicks,wlucas@example.net,2024-03-10,VIP,WEST
223,Joseph Crawford,reynoldsanthony@example.org,2025-11-28,REGULAR,NORTH
224,Steven Thomas,woodphillip@example.com,2026-04-14,PREMIUM,SOUTH
225,Sylvia Turner,samantha78@example.com,2025-02-28,PREMIUM,SOUTH
226,Sara Lawrence,taylordavis@example.com,2024-12-22,REGULAR,EAST
227,Lisa Brown,sarah49@example.net,2024-06-27,PREMIUM,NORTH
228,Taylor Solomon,michaeltorres@example.com,2025-09-21,REGULAR,EAST
229,Diana Harper,kaylazamora@example.org,2026-06-13,VIP,WEST
230,Michael Ward,james79@example.net,2024-04-04,VIP,SOUTH
231,Nathan Carter,jamietyler@example.com,2024-04-19,REGULAR,WEST
232,Rhonda Brooks,rwashington@example.net,2025-06-22,PREMIUM,WEST
233,Brianna Obrien,david68@example.com,2023-07-15,PREMIUM,NORTH
234,Robert Scott,jgibson@example.net,2024-09-12,PREMIUM,NORTH
235,Jennifer Baker,ffuller@example.net,2023-12-24,PREMIUM,WEST
236,James Wilson,davidwolf@example.org,2023-09-11,PREMIUM,NORTH
237,Destiny Dunn,david16@example.org,2023-09-10,REGULAR,SOUTH
238,Lacey Smith,tiffany44@example.com,2024-07-17,PREMIUM,SOUTH
239,Luke Duncan,sarah53@example.org,2023-08-14,VIP,NORTH
240,Emily Robinson,nharris@example.org,2024-03-15,REGULAR,EAST
241,Patrick Irwin,lisa11@example.org,2025-04-01,PREMIUM,NORTH
242,Joe Martin,samantharamirez@example.org,2024-07-14,VIP,WEST
243,Jessica Valencia,ogriffin@example.org,2023-11-14,VIP,SOUTH
244,Jeremy Hernandez,wjefferson@example.com,2023-08-14,VIP,NORTH
245,Denise Macias,hkim@example.com,2024-11-21,REGULAR,WEST
246,Jordan Hughes,xobrien@example.org,2026-07-06,REGULAR,EAST
247,Russell Vega,kristinclark@example.com,2025-01-08,REGULAR,WEST
248,David Roberts,nicolasrich@example.org,2026-06-10,VIP,NORTH
249,Dana Wolfe,bmarquez@example.com,2025-12-14,PREMIUM,SOUTH
250,James Henry,fblankenshipexample.com,2024-08-09,REGULAR,EAST
251,Derrick Buck,timothy23@example.net,2026-04-06,REGULAR,EAST
252,Kiara Gonzalez,wernermichael@example.org,2023-11-26,PREMIUM,SOUTH
253,Caitlin Gilbert,wrightalicia@example.com,2025-06-12,PREMIUM,NORTH
254,Charles Graham,jeremycollins@example.net,2023-10-21,VIP,SOUTH
255,Brandon Williams,keithharrison@example.com,2024-03-26,PREMIUM,WEST
256,Robert Gonzalez,jonescraig@example.org,2025-10-16,VIP,EAST
257,Joel Hodges,ericfrederick@example.org,2023-07-23,VIP,EAST
258,Christopher Nelson,masonpatricia@example.com,2024-02-04,REGULAR,WEST
259,John Bradford,michelleflowers@example.net,2024-09-15,PREMIUM,EAST
260,Jesse Mckinney,fernandoobrien@example.org,2023-10-22,REGULAR,WEST
261,Mrs. Donna Rice,zbyrd@example.net,2025-10-28,REGULAR,WEST
262,Stacy Owens,kristin96@example.com,2025-09-30,PREMIUM,SOUTH
263,Carol Hodge,lindaclark@example.net,2025-01-30,REGULAR,NORTH
264,Ashley Strong,xbennett@example.org,2024-11-09,REGULAR,SOUTH
265,Dr. Daniel Hampton,shannongarza@example.net,2024-02-12,PREMIUM,NORTH
266,Elizabeth Sanchez,lesterrebecca@example.com,2025-08-04,PREMIUM,SOUTH
267,Micheal Watson,stevenperry@example.org,2024-07-25,PREMIUM,WEST
268,Stephanie Livingston,nathaniel57@example.com,2026-04-20,PREMIUM,EAST
269,Angela Carter,ewilliams@example.org,2025-01-07,PREMIUM,NORTH
270,Eric Hunter,gaydustin@example.net,2025-11-28,PREMIUM,SOUTH
271,Alexander Robinson,andrew65@example.net,2025-06-24,VIP,WEST
272,Gabriel Richardson,stephensonkatherine@example.com,2025-09-15,VIP,NORTH
273,Richard Chandler,lutzeric@example.com,2024-12-03,REGULAR,NORTH
274,Jessica Sharp,douglas31@example.net,2025-02-25,PREMIUM,SOUTH
275,Daniel Williams,mckayjames@example.net,2024-05-05,VIP,NORTH
276,Roger Hernandez,veronica30@example.org,2024-03-19,VIP,EAST
277,Deborah Webb,robinsonrose@example.org,2026-05-19,REGULAR,WEST
278,Bobby Stevens PhD,melissa49@example.net,2025-11-07,REGULAR,SOUTH
279,Robin Rivera,alison98@example.net,2024-09-15,VIP,EAST
280,Paula Sanchez,hamiltonjoseph@example.net,2024-10-18,REGULAR,SOUTH
281,Dr. Jared Crane MD,daniel28@example.org,2024-06-14,PREMIUM,SOUTH
282,Danielle Stein,terrywilliam@example.com,2025-03-22,REGULAR,NORTH
283,Gary Miller,cindyfry@example.net,2023-10-21,REGULAR,EAST
284,Tammy Brown,jbriggs@example.com,2025-07-14,REGULAR,SOUTH
285,Felicia Wood,joe76@example.net,2024-06-06,PREMIUM,WEST
286,Samuel Mitchell,matthewharper@example.net,2025-02-14,PREMIUM,NORTH
287,Ashlee Miller,hernandezroy@example.org,2026-06-27,VIP,EAST
288,Wendy Smith,antoniocarter@example.com,2026-05-29,REGULAR,EAST
289,Samantha Howard,williamspatricia@example.com,2023-12-12,VIP,NORTH
290,Kevin Mcneil,underwoodjames@example.org,2025-03-08,VIP,NORTH
291,Katherine Adams,christina81@example.net,2024-09-23,REGULAR,EAST
292,Joel Phelps,dawngraves@example.org,2025-08-19,REGULAR,NORTH
293,Melissa Johnson,elizabeth77example.com,2025-09-07,REGULAR,WEST
294,Matthew Briggs,proman@example.com,2026-05-09,REGULAR,WEST
295,David Hernandez,benjaminbrown@example.org,2024-02-24,REGULAR,SOUTH
296,Jerry Hernandez,campbellmarvinexample.com,2025-12-25,REGULAR,NORTH
297,John Ortiz,sharon37@example.net,2023-08-31,PREMIUM,WEST
298,James Reed,johnsonmelissa@example.com,2025-03-06,VIP,WEST
299,Jonathan Barrett,ubowers@example.com,2024-02-01,VIP,SOUTH
300,Nichole Zimmerman,susan92@example.org,2024-03-21,VIP,EAST
301,Jennifer Tucker,eddie23@example.net,2026-02-02,VIP,WEST
302,Donald Harris Jr.,townsendcrystal@example.net,2024-12-23,REGULAR,WEST
303,Jacqueline Smith,gingram@example.org,2024-06-01,PREMIUM,SOUTH
304,Michael Hodge,alyssa89@example.net,2026-02-15,VIP,SOUTH
305,Randy Simon,gibsonjennifer@example.net,2024-10-02,PREMIUM,EAST
306,Nicole Williams,andrew91@example.com,2025-04-18,PREMIUM,NORTH
307,Suzanne Lynch,sandradavenport@example.org,2025-06-06,PREMIUM,SOUTH
308,Steven Phelps,elizabethriley@example.com,2024-08-25,PREMIUM,SOUTH
309,Daryl Walker,aallen@example.com,2023-09-22,REGULAR,EAST
310,Rebekah Hill,usmith@example.net,2024-10-27,PREMIUM,WEST
311,Mary Crawford,amandatran@example.org,2024-07-08,PREMIUM,WEST
312,Jasmine Swanson,amygonzalez@example.net,2025-05-07,PREMIUM,WEST
313,Matthew Potts,garciasarah@example.net,2024-08-14,PREMIUM,WEST
314,Eduardo Scott,rebeccaharris@example.org,2025-01-21,VIP,SOUTH
315,Timothy Collins,joneseric@example.org,2023-07-15,VIP,SOUTH
316,Andrea Townsend,tammy17@example.com,2024-01-14,VIP,EAST
317,Sandy Nichols,olsonchristina@example.org,2025-01-13,VIP,WEST
318,Heather Hughes,amywright@example.org,2026-02-27,PREMIUM,SOUTH
319,Rebecca Miller,martinmatthew@example.net,2026-06-15,PREMIUM,NORTH
320,Karen Middleton,anthony66@example.org,2025-09-13,PREMIUM,EAST
321,Jennifer Jackson,vayala@example.net,2023-10-21,VIP,WEST
322,Natasha Davenport,dgrant@example.com,2024-11-21,REGULAR,EAST
323,Christina Williams,klopez@example.com,2023-08-05,REGULAR,WEST
324,Taylor Wong MD,montesmichelle@example.org,2024-02-03,PREMIUM,SOUTH
325,Linda Hoffman,watkinsthomas@example.net,2025-11-12,REGULAR,SOUTH
326,Gina Weber,hartmandanielle@example.org,2024-11-05,VIP,SOUTH
327,Jessica Williams,brownkevin@example.org,2026-06-25,VIP,SOUTH
328,James Hernandez,melissa18@example.com,2023-11-03,VIP,SOUTH
329,Dr. Jason Johnson IV,jenniferkane@example.net,2026-01-31,PREMIUM,WEST
330,Ariel Wilson,katrina51@example.org,2025-12-21,VIP,SOUTH
331,Robert Hall,larry88@example.org,2025-11-08,PREMIUM,EAST
332,Sheila Payne,craig60@example.com,2025-04-22,VIP,NORTH
333,Gary Figueroa,caseyrush@example.net,2023-07-16,REGULAR,NORTH
334,John Harrison,richard14@example.org,2026-01-12,REGULAR,EAST
335,Stephanie Wright,gary91@example.net,2023-08-05,PREMIUM,EAST
336,Nicholas Martinez,veronicasmith@example.net,2024-09-06,REGULAR,SOUTH
337,Monica Wilkinson,dkelley@example.com,2024-06-01,REGULAR,EAST
338,Jasmine Bryan,max69@example.com,2025-12-24,PREMIUM,WEST
339,David Chase,mannjonathan@example.net,2025-08-21,VIP,SOUTH
340,Brian Garza,hayley92@example.net,2025-12-27,REGULAR,SOUTH
341,Michael Anderson,halljohn@example.org,2023-10-30,REGULAR,SOUTH
342,Brandi Robinson,andrewsdenise@example.net,2023-12-29,VIP,WEST
343,Alexis Rodriguez,sergiothomas@example.net,2024-01-17,VIP,WEST
344,Erika Jenkins,scott32@example.org,2025-03-05,PREMIUM,SOUTH
345,Sergio Hodge,tracyavery@example.com,2023-09-24,VIP,SOUTH
346,Jeffrey Moore,goodmanalice@example.org,2025-04-12,REGULAR,NORTH
347,Dustin Campbell,ronaldsmith@example.net,2023-10-19,PREMIUM,WEST
348,Hannah Newman,rharris@example.com,2025-03-07,REGULAR,NORTH
349,John Kim,andreyoung@example.com,2025-02-26,PREMIUM,WEST
350,Travis Hicks,danielgriffith@example.net,2024-08-08,REGULAR,WEST
351,Denise Barrett,julie01@example.net,2023-12-23,PREMIUM,EAST
352,Douglas Pacheco,courtneymadden@example.org,2024-02-26,REGULAR,EAST
353,Erin Norris,abradley@example.com,2024-05-05,REGULAR,EAST
354,Nicholas Le,zking@example.com,2026-01-05,REGULAR,NORTH
355,James Wilkinson,cody79@example.org,2024-07-24,VIP,SOUTH
356,Scott Kelly,amandasnyder@example.com,2025-11-29,PREMIUM,EAST
357,Billy Cunningham,jessedelacruz@example.org,2025-07-04,REGULAR,EAST
358,Zachary Jones,ohiggins@example.net,2024-06-07,PREMIUM,NORTH
359,Brent Scott,rmartinez@example.net,2026-01-09,VIP,WEST
360,Stephanie Davis,cheryldavis@example.com,2026-01-24,PREMIUM,EAST
361,Lori Hodges,alvarezjoshua@example.org,2026-04-26,PREMIUM,NORTH
362,Monica Howe,nmontoya@example.com,2024-12-04,REGULAR,NORTH
363,Jonathan Perez,aaron55@example.com,2025-11-20,VIP,EAST
364,Alyssa Davis,contrerasjames@example.org,2024-07-07,PREMIUM,EAST
365,Morgan Gonzalez,jamesphillips@example.org,2026-05-02,VIP,WEST
366,Luke Johnson,michaelsherman@example.com,2026-06-10,PREMIUM,NORTH
367,Michael Bass,thomassmith@example.com,2023-09-02,VIP,NORTH
368,Melinda Orozco,millereric@example.org,2024-03-04,REGULAR,EAST
